"Species" "Interactions" "Connectance" "robustez_low" "MAT" "MAP" "CV" "TS" "PDQ" "Latitude" "Longitude" "Região"
"M_PL_011" 27 52 0.286 0.737700318321706 206 1917 51 2194 217 -20.348404 57.552152 "Tropical"
"M_PL_026" 159 204 0.036 0.59920017246735 238 335 69 1575 36 -0.5 -90.5 "Tropical"
"M_PL_030" 81 109 0.073 0.606520581988433 274 1209 84 928 12 8.933333 -67.416667 "Tropical"
"M_PL_031" 97 156 0.066 0.662964695472329 204 2404 53 380 188 5.583333 -61.716667 "Tropical"
"M_PL_035" 97 178 0.081 0.748212446060699 266 1715 47 944 204 17.916667 -76.191667 "Tropical"
"M_PL_040" 72 114 0.091 0.649881774051202 246 1674 33 952 247 18.353889 -77.645278 "Tropical"
"M_PL_041" 74 145 0.109 0.709594114403223 257 1871 37 972 249 15.518889 -61.467222 "Tropical"
"M_PL_042" 18 25 0.347 0.662459358365247 238 309 86 1518 24 -0.949194 -90.977222 "Tropical"
"M_PL_059" 26 71 0.42 0.732091171512106 221 666 58 1603 54 -8.505 -37.201389 "Tropical"
"M_PL_060_01" 50 95 0.221 0.631943617269118 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_02" 50 107 0.235 0.664975643451043 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_03" 58 130 0.222 0.662050121332638 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_04" 67 134 0.139 0.653076693042681 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_05" 87 144 0.081 0.617968920824845 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_06" 71 96 0.082 0.594829449182056 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_07" 68 108 0.095 0.625294994913024 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_08" 47 72 0.135 0.604371354383779 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_09" 58 78 0.108 0.582464101297018 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_10" 39 51 0.146 0.616028784988301 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_11" 34 43 0.154 0.606840184802859 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_12" 37 60 0.21 0.631921836695355 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_13" 38 48 0.221 0.600604876799593 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_14" 48 99 0.243 0.679086730908368 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_15" 51 131 0.253 0.726105186203143 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_16" 56 114 0.172 0.651212906136968 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_17" 52 100 0.168 0.656206955435423 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_18" 48 75 0.134 0.644442666074615 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_19" 31 41 0.175 0.66298095953806 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_20" 30 37 0.171 0.615827025584874 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_21" 28 32 0.242 0.53744135589822 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_22" 44 64 0.159 0.588847934497221 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_23" 39 57 0.176 0.646156574248877 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_060_24" 38 46 0.137 0.621889897907236 NA NA NA NA NA -20.7 57.733333 "Tropical"
"M_PL_061_01" 17 17 0.283 0.561625604738239 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_02" 22 27 0.318 0.58545569774767 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_03" 20 24 0.286 0.591587111418501 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_04" 22 29 0.259 0.613613939941444 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_05" 34 51 0.193 0.633528752903355 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_06" 35 58 0.22 0.626141145781705 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_07" 32 62 0.3 0.668656196686419 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_08" 25 35 0.307 0.673501481882437 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_09" 16 15 0.25 0.613809530780741 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_10" 19 20 0.286 0.586126674840799 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_11" 18 17 0.236 0.574082338960388 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_12" 19 24 0.286 0.617435369685183 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_13" 26 39 0.293 0.633742097809626 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_14" 17 18 0.273 0.581791130311544 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_15" 24 33 0.306 0.619549163892367 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_16" 27 41 0.27 0.662288230978457 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_17" 22 19 0.162 0.553008383784858 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_18" 29 35 0.177 0.619446754141678 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_19" 32 44 0.19 0.605403885354315 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_20" 25 25 0.162 0.592933215551493 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_21" 29 43 0.217 0.655009015493227 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_22" 28 28 0.156 0.582678808916703 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_23" 36 45 0.173 0.565959809627618 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_24" 29 46 0.232 0.653901843303829 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_25" 16 21 0.382 0.63339786540747 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_26" 20 28 0.308 0.684552709725216 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_27" 19 21 0.269 0.589049154375793 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_28" 27 36 0.237 0.60717660639257 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_29" 26 39 0.271 0.670426221660004 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_30" 20 30 0.33 0.653496273107534 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
